,Date,EUR.USD.Close,EUR.USD.High,EUR.USD.Low,USD.JPY.Close,USD.JPY.High,USD.JPY.Low,USD.CHF.Close,USD.CHF.High,USD.CHF.Low,GBP.USD.Close,GBP.USD.High,GBP.USD.Low,USD.CAD.Close,USD.CAD.High,USD.CAD.Low,EUR.GBP.Close,EUR.GBP.High,EUR.GBP.Low,EUR.JPY.Close,EUR.JPY.High,EUR.JPY.Low,EUR.CHF.Close,EUR.CHF.High,EUR.CHF.Low,AUD.USD.Close,AUD.USD.High,AUD.USD.Low,GBP.JPY.Close,GBP.JPY.High,GBP.JPY.Low,CHF.JPY.Close,CHF.JPY.High,CHF.JPY.Low,GBP.CHF.Close,GBP.CHF.High,GBP.CHF.Low,NZD.USD.Close,NZD.USD.High,NZD.USD.Low,GBP.AUD.Close,GBP.AUD.High,GBP.AUD.Low,EUR.AUD.Close,EUR.AUD.High,EUR.AUD.Low,market
1,1/1/2016,1.0864,1.0937,1.0852,120.17,120.5,119.99,0.9994,1.002,0.9871,1.4738,1.4845,1.4732,1.3829,1.3903,1.3821,0.7374,0.7384,0.7332,130.65,131.77,130.45,1.0864,1.0879,1.079,0.7293,0.7327,0.7266,177.14,178.71,177.05,120.25,122,119.88,1.4727,1.4801,1.4629,0.6834,0.6867,0.6809,1.6933,1.6963,1.6635,0.6976,0.7047,0.6952,NA
2,1/4/2016,1.08311,1.09463,1.07814,119.411,120.463,118.707,1.00242,1.00625,0.99245,1.47156,1.48159,1.46639,1.3948,1.39831,1.3818,0.73598,0.74238,0.7346,129.337,130.76,128.68,1.08574,1.09008,1.08368,0.7183,0.73004,0.71562,175.69,177.42,174.973,119.103,120.39,118.57,1.4748,1.47939,1.46369,0.6745,0.68351,0.67199,1.6689,1.6789,1.6534,0.7027,0.7067,0.7016,4903.089844
3,1/5/2016,1.0744,1.08387,1.0711,119.045,119.701,118.795,1.0087,1.01242,1.00077,1.46664,1.47251,1.46387,1.3992,1.4019,1.38985,0.73248,0.7381,0.73129,127.899,129.48,127.524,1.0838,1.08782,1.08358,0.7159,0.72144,0.71328,174.57,176.164,174.101,117.986,119.438,117.59,1.4794,1.48353,1.47312,0.67008,0.67576,0.66772,1.6593,1.6801,1.6542,0.7049,0.7077,0.698,4891.430176
4,1/6/2016,1.0786,1.07992,1.07156,118.48,119.165,118.255,1.0067,1.01213,1.00579,1.46243,1.4682,1.46027,1.40963,1.41085,1.39736,0.7374,0.7379,0.7318,127.785,128.2,127.026,1.086,1.087,1.08278,0.7055,0.71713,0.70488,173.28,174.921,173.118,117.63,118.21,117.13,1.47247,1.4809,1.47188,0.66307,0.67081,0.66263,1.6759,1.6859,1.6651,0.7032,0.7067,0.6996,4835.759766
5,1/7/2016,1.09258,1.09401,1.07715,117.6,118.754,117.332,0.9934,1.00798,0.99231,1.46158,1.46403,1.4533,1.4087,1.41694,1.4051,0.7475,0.74832,0.735,128.511,128.559,126.79,1.08538,1.08845,1.08425,0.70068,0.7086,0.69808,171.88,173.754,170.77,118.38,118.44,116.8,1.45197,1.47443,1.45059,0.663,0.66665,0.65912,1.681,1.6887,1.6769,0.7019,0.703,0.6977,4689.430176
6,1/8/2016,1.09172,1.09331,1.08036,117.519,118.851,117.454,0.99468,1.00521,0.99336,1.4523,1.46455,1.45069,1.4145,1.41638,1.40586,0.7515,0.7523,0.7421,128.291,129.087,128.08,1.086,1.08848,1.0843,0.6976,0.70767,0.69633,170.668,173.371,170.498,118.1,118.917,117.99,1.4447,1.46466,1.44314,0.65506,0.66781,0.6543,1.6843,1.6885,1.6629,0.6996,0.7028,0.6952,4643.629883
7,1/11/2016,1.086,1.09697,1.0848,117.697,118.026,116.696,1.00101,1.0024,0.98815,1.45526,1.46041,1.4495,1.42148,1.42453,1.40652,0.74622,0.7555,0.7442,127.819,128.47,127.315,1.08727,1.08831,1.08392,0.69943,0.70359,0.69281,171.28,172.274,169.37,117.545,118.3,117.116,1.45679,1.45782,1.43539,0.65561,0.6581,0.65094,1.6785,1.6978,1.6746,0.6966,0.6975,0.6913,4637.990234
8,1/12/2016,1.08461,1.09001,1.08199,117.745,118.071,117.231,1.00319,1.00461,0.9967,1.44388,1.45599,1.43527,1.4263,1.43148,1.41769,0.75113,0.75483,0.7452,127.713,128.006,127.46,1.08811,1.08816,1.0843,0.69869,0.70208,0.69404,170.005,171.674,169.177,117.353,117.86,117.19,1.44846,1.45831,1.43846,0.6535,0.65684,0.65157,1.6955,1.6992,1.6721,0.6932,0.6949,0.689,4685.919922
9,1/13/2016,1.0872,1.0884,1.0805,117.84,118.38,117.65,1.0061,1.0108,1.0024,1.4441,1.4476,1.4381,1.4349,1.438,1.4188,0.7528,0.7537,0.7466,128.13,128.54,127.64,1.094,1.0955,1.0871,0.6968,0.7048,0.6952,170.19,171.29,169.82,117.1,117.78,116.88,1.4527,1.4594,1.4467,0.653,0.659,0.6522,1.6823,1.6871,1.6634,0.6931,0.6994,0.6914,4526.060059
10,1/14/2016,1.0857,1.09432,1.0835,118.129,118.28,117.296,1.0058,1.0092,1.001,1.44115,1.44454,1.43607,1.4352,1.43972,1.43347,0.75327,0.761,0.75223,128.24,128.751,127.753,1.0922,1.09817,1.092,0.6989,0.69967,0.69103,170.242,170.515,168.848,117.41,117.62,116.608,1.4496,1.45472,1.43939,0.6478,0.6516,0.64193,1.6763,1.68,1.6557,0.697,0.7014,0.6943,4615
11,1/15/2016,1.0913,1.09845,1.0855,116.92,118.27,116.513,1.0016,1.00603,0.9959,1.4254,1.44276,1.4253,1.45217,1.45537,1.43434,0.76561,0.7695,0.7525,127.613,128.43,127.61,1.0933,1.09611,1.09147,0.6857,0.70017,0.68275,166.66,170.563,166.259,116.71,117.65,116.612,1.42787,1.45053,1.42256,0.6446,0.64912,0.63818,1.6635,1.6679,1.6455,0.6996,0.705,0.6961,4488.419922
12,1/18/2016,1.0889,1.0936,1.0869,117.34,117.44,116.59,1.0051,1.0073,1.0008,1.427,1.4323,1.4249,1.4515,1.4608,1.4487,0.7631,0.7671,0.7596,127.8,127.98,127.36,1.0946,1.0963,1.093,0.6868,0.6928,0.6833,167.46,168.15,166.26,116.72,116.93,116.38,1.4343,1.4419,1.4274,0.6444,0.648,0.6408,1.648,1.6583,1.639,0.705,0.7055,0.6982,NA
13,1/19/2016,1.09134,1.0939,1.08597,117.553,118.112,117.236,1.00274,1.0082,1.00024,1.41743,1.434,1.413,1.4554,1.45754,1.44324,0.76987,0.7713,0.75834,128.29,128.56,127.77,1.09436,1.0965,1.09127,0.69174,0.69573,0.68391,166.628,169.1,166.351,117.218,117.542,116.59,1.42137,1.44432,1.4182,0.64917,0.6513,0.6416,1.6536,1.6756,1.6481,0.7036,0.705,0.6926,4476.950195
14,1/20/2016,1.08801,1.09757,1.08776,117.029,117.682,115.976,1.00562,1.0058,0.99907,1.41688,1.42192,1.4126,1.44801,1.469,1.4475,0.7678,0.77555,0.76145,127.332,128.39,126.63,1.094,1.0979,1.0909,0.69228,0.69251,0.68286,165.817,166.82,163.987,116.367,117.282,115.76,1.42451,1.42523,1.41216,0.64301,0.64376,0.63481,1.6685,1.6761,1.6451,0.6957,0.7002,0.6923,4471.689941
15,1/21/2016,1.0883,1.0921,1.0778,117.5,117.78,116.47,1.0065,1.0146,1.0013,1.4225,1.4229,1.408,1.429,1.454,1.4228,0.765,0.7742,0.7616,127.89,128.08,126.18,1.0955,1.0973,1.0918,0.6997,0.7012,0.6876,167.16,167.41,164.47,116.71,116.87,115.36,1.4317,1.4388,1.4144,0.6508,0.6538,0.6412,1.649,1.6526,1.598,0.6989,0.7109,0.6946,4472.060059
16,1/22/2016,1.0793,1.0876,1.079,118.81,118.84,117.54,1.016,1.0166,1.007,1.4272,1.4363,1.4205,1.4151,1.43,1.4115,0.756,0.7705,0.7526,128.23,128.44,127.43,1.0967,1.0987,1.0923,0.7005,0.7046,0.6987,169.57,170.36,167.1,116.9,117.37,116.26,1.4504,1.4567,1.4314,0.6484,0.6551,0.6467,1.6249,1.6551,1.5896,0.6998,0.7069,0.6711,4591.180176
17,1/25/2016,1.0852,1.08539,1.079,118.33,118.855,118.176,1.013,1.01682,1.01252,1.42486,1.43095,1.4224,1.42681,1.42716,1.41274,0.7617,0.76181,0.75534,128.43,128.546,127.863,1.09965,1.10066,1.09583,0.6954,0.70313,0.69543,168.595,170.009,168.32,116.76,117.185,116.6,1.44354,1.4517,1.44212,0.64631,0.65329,0.64617,1.5946,1.615,1.5882,0.704,0.7063,0.6958,4518.490234
18,1/26/2016,1.08553,1.08742,1.0819,118.42,118.621,117.659,1.0172,1.01987,1.0118,1.4355,1.4367,1.41738,1.40798,1.43254,1.40452,0.7559,0.7664,0.755,128.559,128.635,127.82,1.10446,1.10598,1.0986,0.7011,0.70211,0.69193,170.037,170.273,166.99,116.392,116.9,116.2,1.4605,1.4645,1.43567,0.6504,0.65066,0.64258,1.6044,1.6347,1.6024,0.6999,0.7004,0.6884,4567.669922
19,1/27/2016,1.08969,1.09163,1.08511,118.586,119.069,118.046,1.01464,1.01894,1.01306,1.42398,1.4355,1.42304,1.411,1.41562,1.40279,0.76513,0.7666,0.7564,129.22,129.496,128.252,1.1057,1.1076,1.10303,0.702,0.70814,0.69934,168.862,170.03,168.576,116.857,117.142,116.126,1.44483,1.46016,1.44315,0.6438,0.6531,0.64171,1.6315,1.6388,1.6193,0.6888,0.6935,0.6879,4468.169922
20,1/28/2016,1.09502,1.09675,1.087,118.8,118.992,118.418,1.0131,1.018,1.0099,1.43594,1.44073,1.4232,1.40497,1.41226,1.39485,0.76254,0.76627,0.75947,130.08,130.22,128.94,1.10949,1.11068,1.10465,0.70835,0.71285,0.70084,170.587,171.147,168.691,117.234,117.51,116.57,1.45492,1.4607,1.44477,0.6478,0.65134,0.6419,1.6219,1.629,1.6029,0.6919,0.6939,0.6864,4506.680176
21,1/29/2016,1.0831,1.09485,1.08102,121.092,121.689,118.476,1.02409,1.0256,1.01342,1.4244,1.44128,1.41499,1.4025,1.4109,1.39685,0.7602,0.765,0.7561,131.16,132.302,129.497,1.1092,1.1165,1.1058,0.707,0.71408,0.70591,172.503,174.172,170.103,118.22,119.424,116.855,1.45889,1.46605,1.44834,0.6473,0.6543,0.64592,1.606,1.6114,1.5969,0.6904,0.6928,0.6876,4613.950195
